Unit ID,Rarity,Name,Health,Knockbacks,Speed,Attack,DPS,A. Type,A. Frequency,Foreswing,Range,Cost,Recharge,Abilities
015-3,EX,重機C・A・T,"2,000",3,30,750,223,範囲,101,8,199,"1,125",206,対 黒い敵 30％の確率で200～240F攻撃力50％に低下
016-1,EX,ネコパンツ,"1,000",3,10,250,60,単体,125,6,350,525,76,-
016-2,EX,ネコ葉っぱ,"1,000",3,10,250,60,単体,125,6,350,525,76,-
016-3,EX,ネコぺろきゃん,"1,000",3,10,250,60,範囲,125,6,350,525,76,-
017-1,EX,もねこ,"1,500",4,5,"1,000",236,単体,127,28,160,148,1744,15％の確率でクリティカル
017-2,EX,スターもねこ,"2,500",4,5,"1,000",236,単体,127,28,160,148,1744,15％の確率でクリティカル
017-3,EX,スーパースターもねこ,"3,125",4,5,"1,000",236,単体,127,28,160,148,1078,"20％の確率でクリティカル
 100％の確率でLv3小波動（射程 732.5 与ダメ x0.2）"
018-1,EX,ネコリンリン,"1,000",4,10,450,229,範囲,59,20,170,"1,050",60,-
018-2,EX,ネコワイルド,"1,000",4,10,450,229,範囲,59,16,170,"1,050",60,-
018-3,EX,イチリンリン,"1,000",4,10,450,229,範囲,59,16,170,525,60,-
019-1,EX,ネコ忍者,600,3,13,70,100,単体,21,6,150,300,60,"2連続攻撃 35 35（6F 14F）
 対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）"
019-2,EX,ガマネコ忍者,600,3,13,70,100,単体,21,6,150,300,60,"2連続攻撃 35 35（6F 14F）
 対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）"
019-3,EX,ムササビネコ忍者,600,3,10,70,100,単体,21,6,150,225,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
020-1,EX,ネコゾンビ,"1,750",3,8,500,254,単体,59,16,150,"1,125",146,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
020-2,EX,デビルネコ,"1,750",3,8,500,254,単体,59,16,150,"1,125",146,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
020-3,EX,ネコボーン,"1,750",3,8,500,254,範囲,59,16,150,"1,125",146,"対 赤い敵 ゾンビ めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
021-1,EX,ネコざむらい,"1,350",3,7,325,171,単体,57,18,150,525,60,-
021-2,EX,ネコナイト,"1,350",3,7,325,171,単体,57,18,160,525,60,-
021-3,EX,ネコパティシエ,"1,350",3,7,325,171,単体,57,18,160,525,60,対 全敵（メタル 無 魔 使 除く） 10％の確率で60～72F動きを遅くする
022-1,EX,スモウネコ,"1,500",1,8,21,19,範囲,34,12,110,300,60,3連続攻撃 7 7 7（12F 20F 28F）
022-2,EX,マダム・ザ・スモウ,"1,500",1,8,21,19,範囲,34,12,110,300,60,3連続攻撃 7 7 7（12F 20F 28F）
022-3,EX,ネコにぎり,"1,500",1,24,21,19,範囲,34,12,110,300,60,"3連続攻撃 7 7 7（12F 20F 28F）
 無効（ふっとばす）"
023-1,EX,ネコフィーバー,500,3,6,50,35,単体,43,14,140,75,60,-
023-2,EX,ネコカーニバル,500,3,6,50,35,単体,43,14,140,75,60,-
023-3,EX,ネコアミーゴ,500,3,6,50,35,単体,43,14,140,75,60,対 全敵（メタル 無 魔 使 除く） 5％の確率でふっとばす
024-1,EX,ネコスカート,"1,000",3,10,250,60,単体,125,6,350,525,76,-
024-2,EX,ネコタイツ,"1,000",3,10,250,60,単体,125,6,350,525,76,-
024-3,EX,ねこななふん,"1,000",3,10,250,88,単体,85,6,350,525,76,30％の確率でバリアブレイク
025-1,EX,ネコヴァルキリー,"3,500",2,20,"1,250",291,範囲,129,20,350,"3,000",1946,-
025-2,EX,ネコヴァルキリー・真,"3,500",2,20,"1,250",291,範囲,129,20,350,"3,000",1946,-
025-3,EX,ネコヴァルキリー・聖,"3,500",2,20,"1,800",419,範囲,129,20,350,"3,000",1946,対 全敵（メタル 無 魔 使 除く） 35％の確率で60～72F動きを止める
026-1,EX,ネコムート,"3,750",3,6,"12,500",625,範囲,600,121,450,"4,500",4546,-
026-2,EX,狂乱のネコムート,"3,750",3,6,"12,500",625,範囲,600,121,450,"4,500",4546,-
026-3,EX,覚醒のネコムート,"3,750",6,60,"13,750","4,435",範囲,93,5,200,"4,500",2946,"3連続攻撃 12,500 500 750（5F 10F 20F）"
027-1,EX,ケリ姫,"1,500",1,35,"1,000",124,単体,241,4,140,675,546,-
027-2,EX,フルカラーケリ姫,"1,500",1,35,"1,000",124,単体,241,4,140,675,546,-
027-3,EX,ウェディングケリ姫,"1,500",1,40,"2,000",331,単体,181,4,140,675,546,-
028-1,EX,ネコひめ,"1,500",1,35,"1,125",210,単体,161,2,140,675,446,-
028-2,EX,ネコひめビューティ,"1,500",1,35,"1,125",210,単体,161,2,140,675,446,-
029-1,EX,ネコカプセル,2,1,70,750,101,単体,222,2,140,666,346,-
029-2,EX,ねこ盛り,2,1,70,750,101,単体,222,2,140,666,346,-
030-1,EX,マスクオブネコ,250,3,10,20,16,単体,37,8,140,75,60,-
030-2,EX,ネコレスラー,"1,250",1,8,350,157,範囲,67,18,150,975,346,-
031-1,激レア,ネコぼさつ,"2,400",2,7,737,299,範囲,74,45,270,"1,650",1186,対 浮いてる敵 40％の確率で120～144F動きを遅くする
031-2,激レア,ネコせんじゅ,"2,900",2,7,"1,237",501,範囲,74,45,270,"1,650",1186,対 浮いてる敵 40％の確率で120～144F動きを遅くする
031-3,激レア,ネコにょらい,"2,900",2,7,"1,237",501,範囲,74,45,300,"1,650",1186,"対 浮いてる敵 40％の確率で120～144F動きを遅くする
 対 浮いてる敵 30％の確率で120～144F攻撃力50％に低下"
032-1,激レア,ネコ番長,"2,500",3,8,"1,086",336,範囲,97,18,250,"1,500",1466,"3連続攻撃 362 362 362（18F 30F 46F）
 対 浮いてる敵 16％の確率で60～72F動きを止める"
032-2,激レア,怒りのネコ番長,"3,000",3,8,"1,911",568,範囲,101,18,250,"1,500",1466,"3連続攻撃 637 637 637（18F 30F 46F）
 対 浮いてる敵 16％の確率で60～72F動きを止める
 無効（止める）"
032-3,激レア,押忍！ネコ番長,"4,500",3,8,"1,911",591,範囲,97,18,280,"1,500",1036,"3連続攻撃 637 637 637（18F 30F 46F）
 対 浮いてる敵 古代種 16％の確率で60～72F動きを止める
 無効（止める 古代の呪い）"
033-1,激レア,ネコザイル,"1,875",5,11,"1,875",288,単体,195,36,220,675,386,対 赤い敵 40％の確率で120～144F動きを遅くする
033-2,激レア,ネコ裸踊り,"3,750",5,11,"3,750",577,単体,195,36,220,675,386,対 赤い敵 40％の確率で120～144F動きを遅くする
033-3,激レア,ネコカンカン,"5,625",5,11,"5,625",865,単体,195,36,220,675,386,"対 赤い敵 60％の確率で120～144F動きを遅くする
 無効（ワープ）"
034-1,激レア,ねこタツ,"3,000",1,10,250,147,単体,51,42,130,720,306,"対 浮いてる敵 打たれ強い（被ダメ 1/4～1/5）
 対 浮いてる敵 30％の確率で200～240F攻撃力50％に低下"
034-2,激レア,ねこTV,"4,000",1,10,500,294,単体,51,42,130,720,306,"対 浮いてる敵 打たれ強い（被ダメ 1/4～1/5）
 対 浮いてる敵 30％の確率で200～240F攻撃力50％に低下"
034-3,激レア,ねこタコつぼ,"4,000",1,10,750,357,単体,63,42,130,720,306,"対 浮いてる敵 打たれ強い（被ダメ 1/4～1/5）
 対 浮いてる敵 30％の確率で200～240F攻撃力50％に低下
 波動ストッパー"
035-1,超激レア,ネコルガ,"1,250",5,4,375,137,単体,82,13,140,"4,500",746,-
035-2,超激レア,ケサランパサラン,"3,000",1,4,"2,500",132,範囲,568,89,650,"4,500",9746,対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす
035-3,超激レア,ウルトラケサラン,"3,000",1,4,"5,000",264,範囲,568,89,650,"4,500",9746,"対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす
 対 全敵（メタル 無 魔 使 除く） 100％の確率で60～72F動きを止める"
036-1,激レア,オタネコ,500,1,4,750,93,単体,241,72,"1,200","3,750",4746,遠方攻撃（1100～1500）
036-2,激レア,ネコハッカー,500,1,4,750,93,範囲,241,72,"1,200","3,750",4746,遠方範囲攻撃（800～1200）
036-3,激レア,ネコスーパーハッカー,500,1,4,"1,125",140,範囲,241,72,"1,200","3,750",4746,"対 全敵（メタル 無 魔 使 除く） 100％の確率で60～72F動きを遅くする
 遠方範囲攻撃（800～1200）"
037-1,激レア,ネコスイマー,"1,875",4,25,"1,100",273,単体,121,21,185,675,306,対 浮いてる敵 超ダメージ（与ダメ x3～4）
037-2,激レア,ネコバタフライ,"2,625",4,25,"1,850",459,単体,121,21,185,675,306,対 浮いてる敵 超ダメージ（与ダメ x3～4）
037-3,激レア,ネコ半魚人,"3,000",4,36,"2,225",552,単体,121,21,215,675,306,対 浮いてる敵 超ダメージ（与ダメ x3～4）
038-1,レア,ネコホッピング,750,3,10,162,99,単体,49,16,150,360,60,50％の確率で1度だけ生き残る
038-2,レア,ネコマサイ,"1,000",3,10,187,114,単体,49,16,150,360,60,50％の確率で1度だけ生き残る
038-3,レア,ネコキョンシー,"1,000",3,10,262,160,単体,49,16,150,240,60,100％の確率で1度だけ生き残る
039-1,レア,ネコ車輪,"1,500",2,9,550,243,範囲,68,29,170,"1,050",346,対 エイリアン 超ダメージ（与ダメ x3～4）
039-2,レア,ネコ太陽,"2,000",2,9,800,353,範囲,68,29,170,"1,050",346,対 エイリアン 超ダメージ（与ダメ x3～4）
039-3,レア,ネコクール,"2,000",2,9,"1,050",463,範囲,68,29,200,"1,050",146,対 エイリアン 超ダメージ（与ダメ x3～4）
040-1,激レア,ネコリンゴ,"2,250",3,12,475,148,単体,96,6,180,825,386,対 赤い敵 40％の確率で60～72F動きを止める
040-2,激レア,カオルくん,"3,000",3,12,975,305,単体,96,6,180,825,386,対 赤い敵 40％の確率で60～72F動きを止める
040-3,激レア,ネコアップル,"3,000",3,12,975,305,範囲,96,6,180,825,386,対 赤い敵 100％の確率で60～72F動きを止める
041-1,激レア,ネコバスたぶ,"1,000",3,9,"1,000",155,単体,194,35,400,750,946,対 赤い敵 超ダメージ（与ダメ x3～4）
041-2,激レア,セクシーネコバスたぶ,"1,750",3,9,"1,500",232,単体,194,35,400,750,946,対 赤い敵 超ダメージ（与ダメ x3～4）
041-3,激レア,ネコバスたぶゴールデン,"3,000",3,9,"1,500",313,単体,144,35,400,750,946,対 赤い敵 超ダメージ（与ダメ x3～4）
042-1,レア,ネコエステ,"1,200",3,10,450,107,範囲,126,7,350,900,76,-
042-2,レア,ネコジェンヌ,"1,450",3,10,625,149,範囲,126,7,350,900,76,-
042-3,レア,ネコパーフェクト,"1,450",3,10,800,190,範囲,126,7,350,900,76,無効（攻撃力低下）
043-1,超激レア,ネコアイス,"3,500",3,8,"2,250",369,範囲,183,54,325,"3,300",1746,対 赤い敵 50％の確率で120～144F動きを止める
043-2,超激レア,ネコアイスクイーン,"5,000",3,8,"3,250",533,範囲,183,54,325,"3,300",1746,対 赤い敵 50％の確率で120～144F動きを止める
043-3,超激レア,ネコアイスクリスタル,"5,000",3,8,"4,500",738,範囲,183,54,425,"3,300",1746,対 赤い敵 100％の確率で120～144F動きを止める
044-1,超激レア,ネコマシン,"12,000",1,9,"8,750",715,範囲,367,168,140,"3,600",1946,対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）
044-2,超激レア,ネコマシン・破,"15,000",1,9,"13,887","1,135",範囲,367,168,140,"3,600",1946,"対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）
 無効（波動）"
044-3,超激レア,ネコマシン・滅,"22,500",1,15,"13,887","1,560",範囲,267,168,190,"3,600",1946,"対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）
 波動ストッパー"
045-1,超激レア,鬼にゃんま,"5,500",3,12,"4,125","1,820",単体,68,28,180,"3,000",856,無効（攻撃力低下）
045-2,超激レア,鬼神にゃんま,"7,250",3,12,"5,625","2,482",単体,68,28,180,"3,000",856,無効（攻撃力低下）
045-3,超激レア,獄炎鬼にゃんま,"9,750",3,12,"9,375","4,136",単体,68,28,180,"3,000",856,無効（攻撃力低下）
046-1,EX,芸者ねこ,250,3,10,20,16,単体,37,8,140,75,60,-
046-2,EX,ネコでありんした,875,3,10,200,47,単体,128,9,350,900,76,-
047-1,レア,ねこジュラ,"1,425",3,12,182,176,単体,31,16,150,525,226,5％の確率でクリティカル
047-2,レア,ねこジュラシッター,"1,675",3,12,207,200,単体,31,16,150,525,226,5％の確率でクリティカル
047-3,レア,ねこジュラザウルス,"2,425",3,12,270,261,単体,31,16,180,525,226,7％の確率でクリティカル
048-1,レア,ねこファイター,"1,662",3,11,200,240,単体,25,16,140,525,126,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
048-2,レア,メガトンファイター,"1,912",3,11,225,270,単体,25,16,140,525,126,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
048-3,レア,マキシマムファイター,"3,825",3,11,225,270,範囲,25,16,140,525,126,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
049-1,レア,ねこ海賊,762,3,8,82,55,単体,45,10,270,510,186,対 赤い敵 30％の確率でふっとばす
049-2,レア,ニャーコック船長,875,3,8,107,71,単体,45,10,270,510,186,対 赤い敵 30％の確率でふっとばす
049-3,レア,ニャック・スパロウ,"2,250",3,8,107,71,単体,45,10,300,510,186,対 赤い敵 40％の確率でふっとばす
050-1,レア,ねこ泥棒,"1,155",3,13,135,135,単体,30,15,170,495,166,撃破時お金x2
050-2,レア,怪盗ニャコン,"1,350",3,13,160,160,単体,30,15,170,495,166,撃破時お金x2
050-3,レア,ネゴエモン,"1,350",3,13,240,240,範囲,30,15,200,495,166,撃破時お金x2
051-1,レア,ねこ僧侶,950,3,10,92,95,単体,29,8,200,495,126,対 浮いてる敵 20％の確率で120～144F動きを遅くする
051-2,レア,ねこ坊主,"1,100",3,10,117,121,単体,29,8,200,495,126,対 浮いてる敵 20％の確率で120～144F動きを遅くする
051-3,レア,ねこ法師,"1,650",3,10,142,147,範囲,29,8,250,495,126,対 浮いてる敵 20％の確率で120～144F動きを遅くする
052-1,レア,ねこ占い師,812,3,9,90,68,単体,40,11,240,510,166,対 浮いてる敵 30％の確率でふっとばす
052-2,レア,ねこふんど師,945,3,9,115,86,単体,40,11,240,510,166,対 浮いてる敵 30％の確率でふっとばす
052-3,レア,ねこ医師,"1,890",3,9,115,86,単体,40,11,240,510,166,対 浮いてる敵 40％の確率でふっとばす
053-1,レア,ネコシャーマン,790,3,10,112,62,単体,54,23,250,510,186,対 浮いてる敵 20％の確率で60～72F動きを止める
053-2,レア,ネコラマンサー,925,3,10,137,76,単体,54,23,250,510,186,対 浮いてる敵 20％の確率で60～72F動きを止める
053-3,レア,ネコオドラマンサー,925,3,10,187,104,単体,54,23,300,510,186,対 浮いてる敵 20％の確率で90～108F動きを止める
054-1,超激レア,エヴァンジェリスト,500,1,18,150,4,範囲,1140,341,"1,000",499,9746,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F動きを止める
054-2,超激レア,フィリバスター,500,1,18,150,4,範囲,1140,341,"1,000",499,9746,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F動きを止める
055-1,EX,10式戦車,"1,905",4,6,575,556,範囲,31,6,140,"1,413",926,-
055-2,EX,ネコ搭乗10式戦車,"1,905",4,6,575,556,範囲,31,6,140,"1,413",926,-
056-1,レア,ネコ魔女,950,3,10,92,64,単体,43,22,200,495,126,対 赤い敵 20％の確率で120～144F動きを遅くする
056-2,レア,ネコマージョ,"1,100",3,10,117,82,単体,43,22,200,495,126,対 赤い敵 20％の確率で120～144F動きを遅くする
056-3,レア,ネコビマージョ,"1,650",3,10,117,82,単体,43,22,250,495,126,対 赤い敵 20％の確率で150～180F動きを遅くする
057-1,レア,ネコアーチャー,450,3,10,245,102,単体,72,43,340,"1,230",346,対 浮いてる敵 超ダメージ（与ダメ x3～4）
057-2,レア,ネコキューピット,600,3,10,245,102,単体,72,43,340,"1,230",346,対 浮いてる敵 超ダメージ（与ダメ x3～4）
057-3,レア,ネコいて座,900,3,16,367,153,単体,72,43,390,"1,230",346,対 浮いてる敵 超ダメージ（与ダメ x3～4）
058-1,超激レア,ネコシュバリエ,"3,250",3,7,500,100,単体,150,31,195,"2,250",1446,20％の確率でクリティカル
058-2,超激レア,ネコベルセルク,"4,500",3,7,750,150,範囲,150,31,195,"2,250",1446,40％の確率でクリティカル
058-3,超激レア,ネコパラディン,"5,750",3,7,"1,000",200,範囲,150,31,245,"2,250",1446,"50％の確率でクリティカル
 無効（ふっとばす）"
059-1,レア,ネコ魔剣士,"1,375",3,11,250,227,単体,33,8,155,630,146,対 赤い敵 超ダメージ（与ダメ x3～4）
059-2,レア,双剣ネコ魔剣士,"1,625",3,11,275,250,単体,33,8,155,630,146,対 赤い敵 超ダメージ（与ダメ x3～4）
059-3,レア,双炎舞ネコ魔剣士,"2,500",3,11,500,455,単体,33,8,155,630,146,対 赤い敵 超ダメージ（与ダメ x3～4）
060-1,超激レア,ねこベビー,"10,000",2,9,"5,500",552,範囲,299,60,140,"3,150",1546,"対 浮いてる敵 エイリアン 30％の確率でふっとばす
 無効（止める）"
060-2,超激レア,ねこベビーズ,"13,000",2,9,"8,750",878,範囲,299,60,140,"3,150",1546,"対 浮いてる敵 エイリアン 30％の確率でふっとばす
 無効（止める）"
060-3,超激レア,ネコベビーカーズ,"15,500",2,12,"8,750",878,範囲,299,60,240,"3,150",1546,"対 浮いてる敵 エイリアン 30％の確率でふっとばす
 100％の確率でLv2波動（射程 532.5）
 無効（止める）"
060-4,超激レア,ネコベビーワールド,"15,500",2,18,"8,750",878,範囲,299,60,240,"3,150",1546,"対 浮いてる敵 エイリアン 40％の確率でふっとばす
 100％の確率でLv3波動（射程 732.5）
 遠方範囲全方位攻撃（-100～300）
 無効（止める）"
061-1,レア,ネコブ・ロンズ,"1,500",2,8,245,144,範囲,51,12,160,630,312,対 メタルな敵 20％の確率でふっとばす
061-2,レア,芸術のネコスタチュ,"2,250",2,8,320,188,範囲,51,12,160,630,312,対 メタルな敵 20％の確率でふっとばす
061-3,レア,ネコクイズ王,"2,250",2,8,470,99,範囲,142,27,190,630,312,対 メタルな敵 30％の確率でふっとばす
062-1,激レア,ねこ寿司,"3,750",2,16,200,85,範囲,71,12,130,"1,425",306,"対 赤い敵 打たれ強い（被ダメ 1/4～1/5）
 対 赤い敵 20％の確率で200～240F攻撃力50％に低下"
062-2,激レア,ねこリーゼント,"4,750",2,16,450,190,範囲,71,12,130,"1,425",306,"対 赤い敵 打たれ強い（被ダメ 1/4～1/5）
 対 赤い敵 20％の確率で200～240F攻撃力50％に低下"
062-3,激レア,ネコ極上,"9,500",2,16,450,190,範囲,71,12,130,"1,425",306,"対 赤い敵 打たれ強い（被ダメ 1/4～1/5）
 対 赤い敵 20％の確率で200～240F攻撃力50％に低下"
063-1,EX,ネコポン,"1,125",1,8,25,11,範囲,68,9,110,150,60,-
063-2,EX,ネコポニョン,"1,125",1,8,25,11,範囲,68,9,110,150,60,-
064-1,レア,ネコ運動会,"1,750",4,10,65,53,範囲,37,8,110,375,60,-
064-2,レア,ネコラッチ,"1,750",4,10,65,53,範囲,37,8,110,375,60,-
064-3,レア,ネコ棒倒し,"1,750",4,10,65,25,範囲,77,8,330,375,60,無効（ワープ）
065-1,レア,剣士,700,3,6,100,22,単体,136,27,170,240,126,-
065-2,レア,剣士ジョニー,"1,400",3,6,225,50,単体,136,27,170,240,126,-
066-1,レア,ウシ姫,"1,250",5,30,75,225,単体,10,6,161,750,60,対 黒い敵 超ダメージ（与ダメ x3～4）
066-2,レア,キリン姫,"1,250",5,30,75,225,単体,10,6,161,750,60,対 黒い敵 超ダメージ（与ダメ x3～4）
067-1,超激レア,KHM48,"1,000",2,6,450,66,範囲,205,26,380,"2,100",1526,対 黒い敵 40％の確率で60～72F動きを止める
067-2,超激レア,ダークKHM48,"2,250",2,6,"1,210",177,範囲,205,26,380,"2,100",1526,対 黒い敵 40％の確率で60～72F動きを止める
067-3,超激レア,KHM46,"2,250",2,6,"1,210",316,範囲,115,26,380,"2,100",636,対 黒い敵 40％の確率で90～108F動きを止める
068-1,レア,チビガウ,"1,500",1,8,500,130,単体,115,56,110,300,76,対 黒い敵 打たれ強い（被ダメ 1/4～1/5）
068-2,レア,チビガウガウ,"2,000",1,8,617,161,単体,115,56,110,300,76,対 黒い敵 打たれ強い（被ダメ 1/4～1/5）
068-3,レア,クリスタルチビガウガウ,"2,500",1,8,617,161,単体,115,56,110,300,76,"対 黒い敵 打たれ強い（被ダメ 1/4～1/5）
 無効（ふっとばす）"
069-1,激レア,執行者,"1,000",3,7,500,82,範囲,184,25,360,750,946,対 黒い敵 40％の確率で120～144F動きを遅くする
069-2,激レア,執行者999,"1,750",3,7,750,122,範囲,184,25,360,750,946,対 黒い敵 40％の確率で120～144F動きを遅くする
069-3,激レア,ジャッジメント,"2,500",3,7,"2,250",367,範囲,184,57,360,750,946,"2連続攻撃 1,125 1,125（57F 83F）
 対 黒い敵 40％の確率で120～144F動きを遅くする"
070-1,激レア,眠れるケリの美女,"2,500",1,6,700,344,範囲,61,12,160,"1,950",556,-
070-2,激レア,眠れるケリの美女Ⅱ,"2,500",1,6,700,344,範囲,61,12,160,"1,950",556,-
070-3,激レア,ひたすら眠れるケリの美女,"3,750",1,6,875,430,範囲,61,12,160,"1,950",556,無効（遅くする）
071-1,レア,ネコリーマン,"1,750",1,8,400,108,単体,111,22,210,"1,366",186,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
